Year,Experiment,Location,Treatment,Trt_code,Rep,Plot,Baseline Nitrate,Recalculated IWG Grain kg/ha,Recalculated IWG Straw kg/ha,Legume Biomass kg/ha,Total VBiomass,Legume,Weed Biomass kg/ha,Legume weed biomass kg/ha,Plot,IWG_%C,IWG_13C,IWG_%N,IWG_15N,IWG_CN,Diff_IWG_LEG,Leg_Fraction,% N_transfer
2017,Legume Trial,Saint Paul,Red Clover,RdCl,3,302,,104.896,691.36,270.3349282,961.6949282,1,0,0,302,40.14,-40.36,2.94,6.7,13.6531,5.4,0.10609857,0.205616851
2017,Legume Trial,Saint Paul,Red Clover,RdCl,4,404,,53.64,596,795.4545455,1391.454545,1,0,0,404,40.3,-38.99,2.62,5.73,15.3817,4.92,0.24666217,0.302908726
2017,Legume Trial,Saint Paul,White Clover,WhCl,1,107,,352.832,4124.32,1.196172249,4125.516172,1,1.196172249,0,107,40.04,-43.23,2.41,6.29,16.6141,6.708764,0.13543497,0.246740221
2017,Legume Trial,Saint Paul,White Clover,WhCl,2,203,,NA,NA,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Saint Paul,White Clover,WhCl,3,305,,309.92,4124.32,28.70813397,4153.028134,1,22.72727273,0,305,39.38,-38.16,1.92,7.02,20.5104,7.438764,0.04135915,0.173520562
2017,Legume Trial,Saint Paul,White Clover,WhCl,4,407,,472.032,2550.88,71.77033493,2622.650335,1,94.49760766,0,407,38.985,-37.39,2.22,8.49,17.6005,NA,NA,NA
2018,Legume Trial,Lamberton,40 Lbs lb N/Ac,MedN,1,108,,299.715,3784.2,NA,3784.2,0,0,0.96291866,108,42.7271691,-30.006,0.86,2.1633,49.7904,NA,NA,NA
2018,Legume Trial,Lamberton,40 Lbs lb N/Ac,MedN,2,206,,147.87,3657,NA,3657,0,52.63157895,20.33492823,206,43.6846913,-29.711,1.15,2.6171,37.9779,NA,NA,NA
2018,Legume Trial,Lamberton,40 Lbs lb N/Ac,MedN,3,301,,324.36,4824.855,NA,4824.855,0,260.7655502,13.15789474,301,43.7208242,-29.505,0.93,3.3514,47.1582,NA,NA,NA
2018,Legume Trial,Lamberton,40 Lbs lb N/Ac,MedN,4,406,,144.69,3180,NA,3180,0,0,0.849282297,406,43.5672594,-30.021,1.16,2.6491,37.5271,NA,NA,NA
2018,Legume Trial,Lamberton,80 Lbs lb N/Ac,HiN,1,102,,315.615,3752.4,NA,3752.4,0,2.392344498,1.793062201,102,43.3685283,-30.059,1.22,3.7361,35.6505,NA,NA,NA
2018,Legume Trial,Lamberton,80 Lbs lb N/Ac,HiN,2,203,,373.65,5135.7,NA,5135.7,0,86.12440191,0,203,43.7027578,-29.931,0.98,4.0515,44.3859,NA,NA,NA
2018,Legume Trial,Lamberton,80 Lbs lb N/Ac,HiN,3,306,,82.68,2480.4,NA,2480.4,0,687.7990431,11.96172249,306,42.9620331,-29.9,1.32,5.0192,32.5623,NA,NA,NA
